current_time:2018-05-20 13:01:49
batchsize:24,epochs:800,rate:0.02X:5,Y:1,per_time:10
epochs:353,train_loss:0.0100857402106,validation_loss:0.00621433333442
epochs:354,train_loss:0.00972797533969,validation_loss:0.00621120612107
epochs:355,train_loss:0.0170221787601,validation_loss:0.00620593612648
epochs:356,train_loss:0.00981533685215,validation_loss:0.0062042829031
epochs:357,train_loss:0.00250113642715,validation_loss:0.0061970766036
epochs:358,train_loss:0.00244526417626,validation_loss:0.00619515465298
epochs:359,train_loss:0.00301286105445,validation_loss:0.00619007150007
epochs:360,train_loss:0.0321882281582,validation_loss:0.00619461112273
epochs:361,train_loss:0.002245472466,validation_loss:0.00619044600701
epochs:362,train_loss:0.00474623878967,validation_loss:0.00618378853103
epochs:363,train_loss:0.00558450515676,validation_loss:0.00618004585941
epochs:364,train_loss:0.0077077662592,validation_loss:0.00617202787407
epochs:365,train_loss:0.00275274897586,validation_loss:0.0061649977266
epochs:366,train_loss:0.00760235203967,validation_loss:0.00616209816626
epochs:367,train_loss:0.00200749165645,validation_loss:0.00615564385727
epochs:368,train_loss:0.0043827562579,validation_loss:0.00615380653572
epochs:369,train_loss:0.022655351012,validation_loss:0.00614446142322
epochs:370,train_loss:0.0110962220209,validation_loss:0.00614235897367
epochs:371,train_loss:0.0149548745878,validation_loss:0.00614157447266
epochs:372,train_loss:0.00811178104916,validation_loss:0.00613985139307
epochs:373,train_loss:0.00585150718014,validation_loss:0.00613855523667
epochs:374,train_loss:0.0319635562098,validation_loss:0.0061414940804
epochs:375,train_loss:0.0041203247354,validation_loss:0.00613929313295
epochs:376,train_loss:0.00360707814517,validation_loss:0.00613177910519
epochs:377,train_loss:0.00289748469185,validation_loss:0.00612800666891
epochs:378,train_loss:0.00785035374281,validation_loss:0.0061222794194
epochs:379,train_loss:0.00323657110942,validation_loss:0.00611680309663
epochs:380,train_loss:0.00547718642686,validation_loss:0.00611627621024
epochs:381,train_loss:0.00401042835992,validation_loss:0.00611050337047
epochs:382,train_loss:0.00514440101888,validation_loss:0.00610641445828
epochs:383,train_loss:0.00428107311024,validation_loss:0.00610178089256
epochs:384,train_loss:0.003366626055,validation_loss:0.00609927705589
epochs:385,train_loss:0.00899965378222,validation_loss:0.00609765967979
epochs:386,train_loss:0.00411798720436,validation_loss:0.00609557835604
epochs:387,train_loss:0.0248094323169,validation_loss:0.00608893963383
epochs:388,train_loss:0.00771450625302,validation_loss:0.00608602332731
epochs:389,train_loss:0.00531417252788,validation_loss:0.00608329385903
epochs:390,train_loss:0.00305534536859,validation_loss:0.00608148760313
epochs:391,train_loss:0.0292423170639,validation_loss:0.00607613225469
epochs:392,train_loss:0.0140893165124,validation_loss:0.00607700761429
epochs:393,train_loss:0.00466014543,validation_loss:0.00607236219143
epochs:394,train_loss:0.0134368340938,validation_loss:0.00606770710606
epochs:395,train_loss:0.00382934038302,validation_loss:0.00606638917
epochs:396,train_loss:0.0218034319644,validation_loss:0.0060657716334
epochs:397,train_loss:0.0229904266846,validation_loss:0.0060595639286
epochs:398,train_loss:0.00433139745238,validation_loss:0.00605396989556
epochs:399,train_loss:0.0398680777197,validation_loss:0.0060530091563
epochs:400,train_loss:0.00272886586176,validation_loss:0.0060476502812
epochs:401,train_loss:0.0134470542767,validation_loss:0.00605772808063
epochs:402,train_loss:0.00720493134141,validation_loss:0.00605559667324
epochs:403,train_loss:0.0069469562505,validation_loss:0.00605139523985
epochs:404,train_loss:0.00264342759781,validation_loss:0.00604348450464
epochs:405,train_loss:0.0213547761954,validation_loss:0.00604412061306
epochs:406,train_loss:0.00266738767867,validation_loss:0.00603412988919
epochs:407,train_loss:0.021104075311,validation_loss:0.00603117630239
epochs:408,train_loss:0.00381767274282,validation_loss:0.00602748301433
epochs:409,train_loss:0.00565621413457,validation_loss:0.00601966234901
epochs:410,train_loss:0.00542283911102,validation_loss:0.00601330125954
epochs:411,train_loss:0.0034360136274,validation_loss:0.0060064541122
epochs:412,train_loss:0.0134500242781,validation_loss:0.00601050961156
epochs:413,train_loss:0.00650999193908,validation_loss:0.00601146255414
epochs:414,train_loss:0.00845733656845,validation_loss:0.00600916094875
epochs:415,train_loss:0.012020547697,validation_loss:0.00600675562005
epochs:416,train_loss:0.00796641200475,validation_loss:0.00599820326337
epochs:417,train_loss:0.00939762941832,validation_loss:0.00599573052186
